spp,Phylum,Class,Order,Family,Genus,Species,Past Gen,Authority,Common name,Migrants,Natural hybrid,Cryptic species complex,Endemic to Singapore,Global IUCN status,RDB2 status,RDB3 status,First known,Last known,No. of digital records and specimens,Actual generation time,Actual x 3,"% change [from 1980s to 2010s, based on 1980s]",Modelled rate of change,Modelled rate (p-value),pop <50,pop <250,pop <1000,pop <2500,pop <10000,Habitat loss,Habitat modification,Declining water quality,Sedimentation,Harmful algal blooms,Oil spills,Light pollution,Noise pollution,Warming,Acidification,Extraction,Invasive displacement,Threats still operating,Threats ceased,Habitat and ecology,sites ≤5 (named),sites >5,Area protection taken,Species recovery programme taken,Habitat restoration taken,Habitat creation taken,Maritime regulation taken,Area protection required,Species recovery programme required,Habitat restoration required,Habitat creation required,Maritime regulation required,Justifications,Remarks,References
Bernardpora stutchburyi,Cnidaria,Anthozoa,Scleractinia,Poritidae,Bernardpora,stutchburyi,Goniopora,"(Wells, 1955)",Anemone coral,No,No,No,No,LC,-,LC,1956 (as Goniopora stutchburyi; Purchon),2020 (Kikuzawa et al),10,10,30,1250.30303,0.021918,0.044749,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"CY-S, HA-SE, JO-S, KU-NE, LA-S, LZ-E, LZ-SW, PSD-NW, RL-W, SJ-NW, SS-N, SS-S, TKK-W, TM-E, TM-S",X (SIMP),,,,X (SultanShoal),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Purchon 1956; Chuang 1961; Chou & Wong 1986; Loo & Chou 1995; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020
Goniopora columna,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,columna,Goniopora,"Dana, 1846",anemone coral,No,No,No,No,NT,-,LC,1956 (Purchon),2021 (Lee et al),14,10,30,1048.71066,1.488955,5.64E-10,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Gonochoric broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-SE, HA-W, HP-E, JO-S, KU-NE, LZ-E, PSD-NW, RL-W, SE-NW, SE-SW, TKK-W, TM-E, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Purchon 1956; Chuang 1961; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Guest et al 2007 (effect of transplantation); Quek & Huang 2019 (phylotranscriptomic analysis)"
Goniopora djiboutiensis,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,djiboutiensis,Goniopora,"Vaughan, 1907",flowerpot coral,No,No,No,No,LC,-,NT,"1986 (ZRC, 19860429)",2020 (Ng et al),6,10,30,-83.86093321,-0.07669,0.029864,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Gonochoric broadcaster.",,"HA-W, JO-S, KU-NE, LZ-E, PSD-SW, SE-SW",X (SIMP),,,,,X,,,,X,"Population decline significant

Common at many sites. 

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; BioBlitz_SIMP2017; Wong et al 2018; Ng et al 2020
Goniopora eclipsensis,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,eclipsensis,Goniopora,"Veron & Pichon, 1982",,No,No,No,No,LC,-,DD,"1985 (ZRC, 19850719)","1985 (ZRC, 19850719)",1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching. 
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM)
Goniopora fruticosa,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,fruticosa,Goniopora,"Saville-Kent, 1891",,No,No,No,No,LC,-,DD,1956 (Purchon),1995 (Loo & Chou),4,10,30,-100,-0.00413,0.527623,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting. 
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Purchon 1956; Chuang 1961; Chou & Teo 1983; Loo & Chou 1995
Goniopora lobata,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,lobata,Goniopora,"Milne Edwards, 1860",flower pot true red coral,No,No,No,No,NT,-,LC,1956 (Purchon),2020 (Kikuzawa et al),14,10,30,1232.380952,0.224289,0.000162,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"HA-W, HP-E, HP-W, JO-S, KU-NE, LA-S, LZ-SW, PSD-NW, RL-W, SE-NW, TKK-W, TM-S",X (SIMP),"X (Ng et al, ex situ nursery)",,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Purchon 1956; Chuang 1961; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020

Ng et al 2012 (ex situ coral nursery); Quek et al 2020 (baits)"
Goniopora pandoraensis,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,pandoraensis,Goniopora,"Veron & Pichon, 1982",branching flower pot coral,No,No,No,No,LC,-,LC,1995 (Loo & Chou),2019 (Chow et al),3,10,30,85.79439252,0.072683,0.016446,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Gonochoric broadcaster. ",,"HA-NE, HA-W, JO-S, KU-NE, LZ-E, PSD-NW, RL-W, SE-SW, TKK-W",,,,,,,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Loo & Chou 1995; Wong et al 2018; Chow et al 2019
Goniopora pedunculata,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,pedunculata,Goniopora,"Quoy & Gimard, 1833",,No,No,No,No,NT,-,DD,2017 (as Goniopora minor; BioBlitz_SIMP2017),2021 (Lee et al),6,10,30,,0.01979,0.061526,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting. 
Gonochoric broadcaster. 

Can colonise artificial structures.",,"HA-SE, LA-S, PSD-SW, PSL-SE, RL-W, SE-NW, TKK-W, TM-S, TPT-SW",X (SIMP),,,,,,,,,,"DD, as % cover change only quantified for < 10 years. 
",Also documented on reef flats (Lee et al 2021),"As Goniopora minor:
BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020

As Goniopora pedunculata:
Lee et al 2021"
Goniopora pendulus,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,pendulus,Goniopora,"Veron, 1985",,No,No,No,No,LC,-,DD,"1987 (ZRC.1987.1916, Huang et al)",2020 (Ng et al),3,10,30,,0.013198,0.004577,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Gonochoric broadcaster. ","HA-NE, HA-W, TKK-W",,,,,,X (SultanShoal),,,,,,"DD, as % cover change only quantified for < 10 years. 
",,Huang et al 2009(ZRC.1987.1916); Wong et al 2018; Ng et al 2020
Goniopora somaliensis,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,somaliensis,Goniopora,"Vaughan, 1907",,No,No,No,No,LC,-,DD,"1985 (ZRC, 19850721)",2014 (Junjie et al),4,10,30,-100,-0.00826,0.119727,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Iffah(LKCNHM); Loo & Chou 1995

Junjie et al 2014 (sediments on coral energetics)"
Goniopora stokesi,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,stokesi,Goniopora,"Milne Edwards & Haime, 1851",daisy coral,No,No,No,No,NT,-,NT,"1987 (ZRC, 19870209)",2018 (Wong et al),4,10,30,-54.11111111,-0.01046,0.56872,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Gonochoric broadcaster.","HA-W, PSD-NW, TPT-SW",,X (SIMP),,,,,X,,,,X,"Not found at many sites. Population decline not significant.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; BioBlitz_SIMP2017; Wong et al 2018
Goniopora tenuidens,Cnidaria,Anthozoa,Scleractinia,Poritidae,Goniopora,tenuidens,Goniopora,"(Quelch, 1886)",blue purple goniopora,No,No,No,No,LC,-,DD,2018 (Wong et al),2020 (Ng et al),3,10,30,,0.013452,0.018384,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive, encrusting. 
Gonochoric broadcaster.","LZ-E, RL-W, SE-SW",,,,,,,,,,,,"DD, as % cover change only quantified for < 10 years. 
",,"Wong et al 2018; Chow et al 2019; Ng et al 2020
"
Porites australiensis,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,australiensis,Porites,"Vaughan, 1918",,No,No,No,No,LC,-,LC,1986 (REST Survey),2020 (Ng et al),6,10,30,-21.36170213,-0.00342,0.918129,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Gonochoric broadcaster.",,"HA-NE, HA-SE, HA-W, HP-E, KU-NE, LA-S,, PSL-SE, RL-W, SE-SW, SJ-NW, TM-E",X (SIMP),,,,"X (SultanShoal, as Porites massive)",,,,,,"Common at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020
Porites cylindrica,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,cylindrica,Porites,"Dana, 1846 ",Yellow finger coral,No,No,No,No,NT,-,VU,"1986 (ZRC, 19860418)",2020 (Kikuzawa et al),5,10,30,-93.70503597,-0.09185,0.012845,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive, branching, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",HA-W,,,,,,,X,,X,X,X,"Population decline significant.
Not found at many sites.

Also documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Wong et al 2018; Kikuzawa et al 2020
Porites deformis,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,deformis,Porites,"Nemenzo, 1955",,No,No,No,No,NT,-,DD,2009 (Huang et al),2020 (Ng et al),2,10,30,,0.002711,0.199397,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive.
Gonochoric broadcaster.",KU-NE,,,,,,X (Raffles),,,,,,"DD, as % cover change only quantified for < 10 years. 
",,Huang et al 2009; Ng et al 2020
Porites lichen,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,lichen,Porites,"(Dana, 1846)",Lichen coral,No,No,No,No,LC,-,DD,"1985 (ZRC, 19850614)",2009 (Huang et al),9,10,30,-100,-0.13662,0.00574,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009
Porites lobata,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,lobata,Porites,"Dana, 1846 ",Lobe coral,No,No,No,No,NT,-,LC,1977 (Chuang),2021 (Lee et al),17,10,30,1252.472325,0.150489,0.00093,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, HA-W, HP-W, KU-NE, LA-S, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),"
X (Ng et al, ex situ nursery)
X (Ng et al, ex situ nursery & intertidal seawall transplant)",,,"X (Raffles)
X (SultanShoal, as Porites massive)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Chuang 1977; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020 (as Porites spp); Lee et al 2021 (as Porites lobata-lutea complex)

Ng et al 2012 (ex situ coral nursery); Ng et al 2015 (enhancing seawall biodiversity); Tanzil et al 2016 (Symbiodinium diversity); Ng et al 2019b (skeletal density); Quek & Huang 2019 (phylotranscriptomic analysis); Loo et al 2020 (optimal temperature); Quek et al 2020 (baits)"
Porites lutea,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,lutea,Porites,"Milne Edwards & Haime, 1851",,No,No,No,No,LC,-,LC,1956 (Purchon),2021 (Moynihan et al),27,10,30,202.1812822,0.167655,0.000873,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, HA-W, HP-E, JO-S, KU-NE, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-SW, SJ-NW, SS-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),"X (Bongiorni et al, in situ nursery)
X (Ng et al, ex situ nursery)",,,"X (Raffles)
X (SultanShoal, as Porites massive)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020 (as Porites spp); Lee et al 2021 (as Porites lobata-lutea complex)

Bongiorni et al 2011 (in situ coral nursery); Ng et al 2012 (ex situ coral nursery); Tanzil et al 2013 (growth rates of Porites in SEA); Tanzil et al 2016 (Symbiodinium diversity); Ng et al 2019b (skeletal density); Tan et al 2020 (endosymbiont diversity); Wainwright et al 2020 (host age); Loo et al 2020 (optimal temperature); Moynihan et al 2021 (envir impact on mech properties)"
Porites monticulosa,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,monticulosa,Porites,"Dana, 1846 ",,No,No,No,No,LC,-,DD,2009 (Huang et al),2019 (Chow et al),3,10,30,,0.050097,0.001788,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, foliose, encrusting.
Gonochoric broadcaster.",,"JO-S, PSD-NW, PSD-SW, RL-W, SE-NW, SE-SW, SJ-S, TPT-SW",X (SIMP),,,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Huang et al 2009; Wong et al 2018; Chow et al 2019
Porites murrayensis,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,murrayensis,Porites,"Vaughan, 1918",,No,No,No,No,NT,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,-100,-0.01336,0.066595,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Porites nigrescens,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,nigrescens,Porites,"Dana, 1846 ",,No,No,No,No,VU,-,DD,1878 (as Porites saccharata; Brüggemann),1995 (Loo & Chou),15,10,30,-100,-0.09137,0.034253,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, branching, encrusting.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Brüggemann 1878; Studer 1881; Purchon 1956; Chou & Teo 1983; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995
Porites rus,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,rus,Porites,"(Forskål, 1775) ",,No,No,No,No,LC,-,NT,1956 (as Porites convexa; Purchon),2021 (Lee et al),12,10,30,-45.05230531,-0.04759,0.32973,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, branching, foliose, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-SE, HA-W, HP-E, HP-W, JO-S, KU-NE, LZ-SW, PSD-NW, PSD-SW, RL-W, SJ-NW, SJ-S, SS-S, TPT-SW",X (SIMP),,,,X (SultanShoal),X,,,,X,"Common at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",Also documented on reef flats (Lee et al 2021),"Purchon 1956; Chuang 1961; Chou & Wong 1986; Loo & Chou 1995; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Loo et al 2020 (optimal temperature)"
Porites solida,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,solida,Porites,"(Forskål, 1775)",,No,No,No,No,LC,-,DD,1977 (Chuang),1995 (Loo & Chou),3,10,30,-100,-0.06869,0.016115,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Chuang 1977; Iffah(LKCNHM); Loo & Chou 1995
Porites stephensoni,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,stephensoni,Porites,"Crossland, 1952",,No,No,No,No,NT,-,DD,"1986 (ZRC, 19860429)",1995 (Loo & Chou),3,10,30,-100,-0.01136,0.036076,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM); Loo & Chou 1995
Porites vaughani,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,vaughani,Porites,"Crossland, 1952",,No,No,No,No,LC,-,DD,1995 (Loo & Chou),1995 (Loo & Chou),1,10,30,-100,-0.02432,0.003559,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Gonochoric broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Psammocora contigua,Cnidaria,Anthozoa,Scleractinia,Psammocoridae,Psammocora,contigua,Psammocora,"(Esper, 1794)",Crinkled sandpaper coral,No,No,No,No,NT,-,NT,1881 (Studer),2020 (Lim et al),17,10,30,-45.7613967,0.002956,0.92783,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, branching, encrusting.
Gonochoric broadcaster.",,"HA-W, JO-S, KU-NE, LA-S, RL-W, SJ-S, SS-N, SS-S",X (SIMP),"X (Ng et al, ex situ nursery; as P.obtusangula)
X (Chou et al, subtidal seawall transplant)

X (Chou et al, subtidal seawall transplant)",,,X (SultanShoal),X,,,,X,"Common at many sites. Population decline not observed.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Studer 1881; Purchon 1956; Chuang 1961; Chuang 1977; Chou & Teo 1983; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020

Ng et al 2012 (ex situ coral nursery, as P. obtusangula); Chou et al 2017 (effectiveness of reef restoration); Chou et al 2018 (relevance of reef restoration)"
Psammocora haimiana,Cnidaria,Anthozoa,Scleractinia,Psammocoridae,Psammocora,haimiana,Psammocora,"Milne Edwards & Haime, 1851",Boulder sandpaper coral,No,No,No,No,LC,-,LC,1956 (as Psammocora togianensis; Purchon),2020 (Kikuzawa et al),13,10,30,288.3333333,0.130818,0.02847,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, foliose, encrusting.
Gonochoric broadcaster.

Can colonise artificial structures.",,"HP-E, JO-S, KU-NE, LZ-SW, PSD-NW, RL-W, SJ-NW, SJ-S, SS-N, SS-S, TPT-SW",X (SIMP),"X (Bongiorni et al, in situ nursery; as P.digitata)
X (Ng et al, ex situ nursery; as P.digitata)",,,"X (Raffles) ; as P.digitata in Huang2009?
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"As P.haimiana: Purchon 1956; Chuang 1961; Chuang 1977; Iffah(LKCNHM); BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020
As P.digitata: Loo & Chou 1995; Huang et al 2009

Bongiorni et al 2011 (in situ coral nursery, as P.digitata); Ng et al 2012 (ex situ coral nursery, as P.digitata)"
Psammocora nierstraszi,Cnidaria,Anthozoa,Scleractinia,Psammocoridae,Psammocora,nierstraszi,Psammocora,"Van de Horst, 1921",Boulder sandpaper coral,No,No,No,No,LC,-,VU,1988 (REST Survey),2020 (Lim et al),3,10,30,-65.75757576,-0.01004,0.646565,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Gonochoric broadcaster.",,"KU-NE, LA-S, LZ-SW, RL-W, TM-E",X (SIMP),,,,,X,,X,,X,"Common at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,BioBlitz_SIMP2017; Wong et al 2018; Lim et al 2020
Psammocora profundacella,Cnidaria,Anthozoa,Scleractinia,Psammocoridae,Psammocora,profundacella,Psammocora,"Gardiner, 1898",Boulder sandpaper coral,No,No,No,No,LC,-,DD,1995 (as Psammocora superficialis; Loo & Chou),2020 (Kikuzawa et al),3,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive. 
Gonochoric broadcaster.

Can colonise artificial structures.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"As Psammocora superficialis: 
Loo & Chou 1995; Huang et al 2009; Kikuzawa et al 2020"
